npi,communityId
1003013160,1423
1003050972,1438
1003063314,1438
1003071333,1408
1003075862,1420
1003113200,1399
1003198359,1420
1003801788,1388
1003813874,1416
1003819277,1424
1003854258,1420
1003860982,1439
1003876236,1390
1003897380,1439
1003903139,1438
1013092089,1438
1013179860,1399
1013902782,1390
1013908730,1423
1013936079,1438
1013957976,1423
1013958776,1420
1023000999,1390
1023009818,1424
1023019429,1416
1023055126,1388
1023061520,1388
1023065232,1423
1023076882,1420
1023100435,1438
1023103462,1388
1023157195,1420
1023165909,1438
1023205531,1423
1023452331,1407
1033100763,1424
1033168059,1438
1033187810,1420
1033200852,1399
1033206149,1438
1033246640,1442
1033278429,1416
1033297429,1407
1033316484,1399
1033343728,1399
1033353487,1407
1033370986,1420
1043205008,1439
1043219165,1388
1043229495,1438
1043281710,1420
1043294747,1399
1043300288,1423
1043351471,1420
1043394166,1438
1043400435,1407
1053303248,1439
1053306175,1420
1053314963,1424
1053337717,1400
1053394916,1420
1053406405,1388
1053408567,1439
1053425181,1439
1053453795,1399
1053468926,1438
1053519785,1439
1063403434,1424
1063407351,1390
1063407534,1403
1063415131,1403
1063445641,1438
1063449031,1442
1063452399,1423
1063452902,1423
1063458255,1424
1063467876,1439
1063483568,1399
1063485373,1423
1063506921,1399
1063739480,1399
1063864775,1442
1073505830,1423
1073516001,1403
1073518734,1408
1073547402,1390
1073580338,1424
1073600102,1438
1073603411,1442
1073605481,1438
1073605499,1438
1073607784,1438
1073633780,1442
1073808747,1438
1073856696,1400
1083001747,1399
1083606248,1423
1083609481,1400
1083614044,1420
1083622575,1399
1083659163,1400
1083665962,1399
1083687305,1399
1083703540,1388
1083712939,1438
1083713424,1438
1083798193,1438
1083871164,1438
1083905822,1388
1093150351,1424
1093155913,1407
1093706962,1388
1093718272,1403
1093738536,1420
1093750564,1420
1093769606,1400
1093809857,1388
1093818981,1438
1093830176,1439
1104020684,1438
1104025329,1438
1104137215,1439
1104244458,1399
1104269067,1423
1104802271,1439
1104808641,1438
1104810274,1438
1104812551,1388
1104817907,1424
1104818889,1400
1104820760,1424
1104836741,1399
1104859115,1420
1104862234,1438
1104863554,1423
1104871029,1399
1104890003,1399
1104897164,1407
1104912013,1438
1104917061,1420
1104933738,1399
1114001229,1423
1114004983,1424
1114019528,1442
1114019536,1438
1114019833,1407
1114020336,1439
1114174547,1438
1114313319,1439
1114916095,1399
1114961513,1390
1114961596,1439
1114966835,1423
1114974979,1400
1114979184,1407
1124003561,1420
1124007919,1390
1124007984,1399
1124043880,1399
1124061676,1420
1124065255,1390
1124067533,1423
1124096904,1420
1124097126,1399
1124115258,1438
1124146683,1438
1124150016,1439
1124175922,1400
1124246681,1407
1124292081,1438
1134117690,1420
1134154461,1399
1134178171,1423
1134203243,1438
1134211543,1438
1134211550,1442
1134247570,1420
1134337983,1442
1134355647,1407
1134410129,1399
1134486467,1438
1144211830,1423
1144221391,1416
1144224981,1424
1144259631,1399
1144264458,1442
1144288747,1439
1144309121,1388
1144312554,1438
1144312562,1438
1144377011,1438
1144383738,1400
1144469826,1438
1144535634,1438
1144587205,1438
1144588690,1438
1144594573,1423
1144664376,1439
1144667288,1399
1154311413,1438
1154312908,1424
1154313708,1424
1154324325,1399
1154339737,1438
1154341543,1416
1154342046,1420
1154344836,1407
1154359602,1438
1154366409,1424
1154376259,1424
1154392918,1420
1154398105,1407
1154418267,1438
1154420594,1438
1154425361,1407
1154491207,1388
1154531911,1388
1154534923,1420
1154597458,1438
1164426979,1424
1164468906,1438
1164469227,1439
1164504544,1420
1164590386,1420
1164693008,1438
1164832648,1420
1174500896,1399
1174517593,1438
1174543516,1400
1174556492,1423
1174564314,1399
1174565543,1424
1174576599,1388
1174580286,1390
1174669998,1439
1174670046,1438
1174670962,1438
1174718480,1420
1174727655,1438
1174730386,1438
1174910491,1439
1174919617,1439
1184048795,1420
1184069429,1424
1184603839,1403
1184611493,1416
1184612921,1400
1184615809,1423
1184619124,1439
1184620460,1388
1184650145,1424
1184697898,1400
1184867939,1407
1184885923,1438
1184914129,1423
1184949752,1388
1194046656,1438
1194710889,1388
1194716662,1442
1194741488,1438
1194743914,1424
1194751354,1424
1194817502,1438
1194872051,1424
1194969196,1438
1194987867,1438
1205030780,1438
1205819695,1438
1205822962,1416
1205825866,1439
1205826526,1399
1205827987,1442
1205830015,1420
1205878220,1403
1205878402,1420
1205879467,1399
1205897584,1442
1205923331,1438
1205945300,1420
1205978152,1420
1205983186,1438
1215017330,1438
1215029897,1407
1215036652,1438
1215084108,1438
1215091129,1438
1215105895,1438
1215155288,1438
1215193255,1438
1215216890,1424
1215295084,1388
1215377932,1420
1215900980,1438
1215902796,1420
1215916838,1407
1215926860,1420
1215926886,1420
1215937982,1424
1215979190,1439
1215995972,1439
1225023914,1388
1225027014,1399
1225029994,1424
1225031073,1423
1225039290,1439
1225078561,1423
1225120926,1388
1225203540,1424
1225269103,1438
1225329634,1438
1225411010,1438
1235101809,1399
1235137183,1438
1235154683,1420
1235163528,1403
1235171596,1399
1235172164,1438
1235172800,1420
1235196395,1442
1235215518,1399
1235238676,1438
1235242181,1388
1235357062,1424
1245203355,1399
1245208602,1407
1245225937,1388
1245267723,1438
1245271741,1400
1245275593,1424
1245300391,1388
1245313741,1400
1245322668,1438
1245325661,1388
1245334333,1423
1245368943,1399
1245541358,1439
1245556554,1438
1255301800,1439
1255316519,1416
1255323382,1416
1255355277,1399
1255368767,1423
1255370029,1423
1255400362,1390
1255488052,1442
1255548665,1438
1255579652,1420
1255624433,1438
1255642856,1420
1255674594,1399
1265423099,1424
1265426050,1388
1265427553,1388
1265445506,1442
1265464499,1439
1265465959,1424
1265487193,1388
1265497788,1388
1265529309,1438
1265551295,1438
1265606255,1388
1265636757,1442
1265756837,1420
1265875553,1423
1275524936,1424
1275528770,1439
1275536468,1399
1275546061,1438
1275597262,1424
1275620312,1438
1275631129,1438
1275646119,1388
1275680134,1423
1275720542,1388
1275767261,1438
1275793283,1388
1275828089,1420
1275888992,1399
1285615278,1400
1285617332,1438
1285620344,1438
1285625731,1424
1285625814,1424
1285627398,1423
1285629527,1438
1285644237,1399
1285662148,1388
1285676247,1423
1285682211,1390
1285695171,1388
1285716944,1438
1285723718,1388
1285732131,1438
1285733618,1438
1285781161,1438
1285862482,1424
1295052934,1420
1295093615,1438
1295178481,1438
1295706257,1399
1295709897,1416
1295720605,1420
1295770915,1424
1295780476,1400
1295882165,1438
1295882348,1438
1295919041,1399
1306010749,1438
1306037775,1423
1306040894,1438
1306053939,1424
1306111497,1407
1306819792,1439
1306827605,1439
1306831284,1390
1306834700,1420
1306862669,1388
1306884150,1438
1306889597,1439
1306891262,1423
1306896519,1438
1306936802,1438
1306950514,1439
1306969696,1399
1306981741,1420
1316029218,1438
1316029226,1423
1316034424,1438
1316051683,1439
1316054133,1407
1316096373,1438
1316101249,1438
1316112634,1438
1316160468,1438
1316206337,1403
1316329675,1403
1316351844,1416
1316379738,1439
1316933955,1388
1316944648,1399
1316975485,1438
1316977812,1388
1316980352,1423
1316985120,1423
1316987654,1423
1326013566,1438
1326046673,1400
1326048844,1403
1326056839,1388
1326057167,1439
1326086653,1423
1326101924,1407
1326115577,1420
1326120700,1390
1326135443,1438
1326135450,1438
1326214438,1438
1336134501,1420
1336147685,1400
1336147776,1416
1336155530,1442
1336200385,1407
1336230424,1399
1336285873,1438
1336296136,1388
1336312602,1438
1336331719,1407
1336377837,1424
1336433549,1399
1346238656,1420
1346244324,1388
1346291952,1407
1346292257,1439
1346332756,1438
1346339710,1438
1346345154,1439
1346353299,1388
1346397205,1442
1346426038,1424
1346504529,1424
1346507423,1390
1346533320,1388
1356304984,1438
1356308779,1399
1356311831,1439
1356315063,1420
1356325237,1424
1356332068,1423
1356395990,1423
1356433783,1438
1356438493,1438
1356440796,1438
1356492342,1399
1356542369,1438
1356592778,1420
1366431710,1438
1366446171,1424
1366497273,1423
1366499261,1439
1366526469,1438
1366559536,1438
1366571523,1399
1366599151,1438
1366642415,1420
1366703225,1439
1366706459,1423
1366731697,1420
1366736845,1408
1376506337,1400
1376508374,1407
1376538207,1388
1376538272,1388
1376544767,1420
1376570010,1438
1376585174,1423
1376616771,1399
1376635052,1407
1376662718,1442
1386600906,1407
1386608768,1442
1386615540,1439
1386639219,1388
1386663144,1442
1386664456,1420
1386664662,1438
1386672335,1438
1386686137,1423
1386689636,1424
1386698058,1407
1386707446,1400
1386710051,1407
1386734069,1438
1386820413,1388
1386878957,1420
1386901536,1439
1396003356,1390
1396004099,1388
1396736963,1424
1396737177,1420
1396739140,1400
1396751749,1439
1396753356,1442
1396784971,1423
1396799979,1423
1396832168,1438
1396848305,1438
1396882205,1438
1396906657,1388
1396910600,1388
1396932463,1420
1396965034,1438
1407033632,1438
1407057946,1438
1407090236,1399
1407141302,1407
1407141773,1407
1407274251,1407
1407811722,1424
1407838931,1438
1407848534,1416
1407880016,1423
1407888357,1420
1407890593,1439
1407893464,1403
1407896749,1423
1407903370,1438
1407943517,1438
1417004136,1442
1417011008,1399
1417040205,1416
1417046806,1420
1417049834,1438
1417056854,1438
1417086596,1400
1417131715,1388
1417169319,1388
1417190711,1438
1417191453,1438
1417273061,1388
1417368770,1438
1417900820,1407
1417903378,1424
1417938432,1438
1417938846,1399
1417944760,1400
1417948076,1438
1417951302,1442
1417956830,1424
1417964628,1388
1417970831,1438
1417983214,1423
1417990367,1388
1417992397,1388
1427008416,1399
1427023605,1439
1427023894,1399
1427040021,1399
1427043645,1388
1427046622,1439
1427051432,1424
1427052224,1424
1427066489,1390
1427073451,1420
1427074210,1388
1427079946,1400
1427180868,1420
1427224278,1438
1427251859,1442
1427444058,1423
1427445220,1423
1437121092,1399
1437138641,1439
1437161221,1438
1437186418,1438
1437206232,1438
1437206315,1388
1437206323,1438
1437229572,1388
1437233541,1438
1437260296,1438
1437316106,1407
1437392917,1423
1437441847,1388
1437449766,1439
1447204961,1424
1447212964,1420
1447242565,1388
1447245725,1388
1447256490,1399
1447284864,1420
1447288055,1442
1447296959,1399
1447307251,1399
1447342860,1438
1447358395,1438
1447366075,1399
1447382221,1407
1447440177,1423
1447562210,1438
1447571658,1399
1447639398,1420
1447679881,1400
1457310286,1420
1457317257,1420
1457330649,1439
1457339707,1438
1457346132,1388
1457355257,1424
1457391229,1442
1457428195,1439
1457435562,1438
1457437782,1442
1457448557,1388
1457455693,1442
1457465668,1439
1457640922,1390
1457746331,1407
1457795239,1399
1467406314,1407
1467418087,1407
1467418871,1420
1467428680,1407
1467447664,1390
1467456228,1424
1467491670,1438
1467494591,1424
1467498279,1399
1467501999,1390
1467544874,1438
1467545541,1439
1467549899,1438
1467645903,1403
1467660852,1438
1467763458,1399
1467764639,1399
1477548154,1390
1477548675,1388
1477595593,1439
1477598712,1424
1477614949,1438
1477640589,1438
1477963999,1400
1487067963,1407
1487096459,1420
1487600698,1420
1487608964,1420
1487635777,1439
1487644522,1400
1487672291,1442
1487674016,1399
1487678835,1438
1487701280,1438
1487723342,1399
1487738597,1438
1487749446,1442
1487778635,1399
1487854311,1388
1487881041,1438
1487947396,1438
1497067235,1388
1497070932,1438
1497175632,1424
1497724124,1388
1497730501,1388
1497732762,1407
1497738462,1442
1497758445,1403
1497789556,1424
1497791602,1388
1497793731,1423
1497794291,1416
1497802219,1438
1497847800,1438
1497893556,1420
1508002015,1399
1508008053,1407
1508039751,1438
1508182155,1438
1508247016,1416
1508276213,1423
1508821026,1442
1508822982,1438
1508830407,1388
1508838400,1399
1508839622,1438
1508862939,1424
1508884875,1439
1508890286,1423
1508913302,1438
1508916586,1399
1508935776,1399
1508961996,1438
1518014323,1388
1518054626,1438
1518066950,1438
1518068832,1438
1518143122,1442
1518161009,1408
1518178441,1423
1518346469,1416
1518398437,1420
1518914050,1420
1518919000,1420
1518952852,1388
1518959311,1438
1518974732,1416
1518976315,1399
1518992940,1438
1528005667,1423
1528055381,1416
1528061223,1420
1528090214,1420
1528105616,1420
1528109832,1438
1528115482,1408
1528122595,1438
1528155660,1438
1528174752,1438
1528212156,1438
1528295607,1438
1528404944,1424
1528487113,1423
1538103692,1424
1538104526,1439
1538112495,1424
1538114434,1399
1538147319,1442
1538150156,1424
1538150289,1424
1538256672,1438
1538268974,1438
1538324496,1424
1538363023,1423
1538385091,1388
1548225444,1407
1548251242,1424
1548251705,1439
1548286396,1403
1548317498,1442
1548332505,1407
1548366222,1439
1548378805,1442
1548460066,1438
1548464027,1438
1548557150,1407
1548571052,1399
1548581598,1399
1558309971,1423
1558315168,1423
1558355941,1399
1558384099,1420
1558386771,1439
