referring_pcp_npi,receiving_hospital_npi,transaction_count
1427251859,1023055126,207
1902842412,1023055126,619
1710975248,1720032345,56
1114974979,1992776405,117
1528105616,1992776405,244
1528105616,1023055126,81
1083703540,1023055126,230
1801880737,1023055126,157
1003801788,1023055126,692
1700846334,1992776405,57
1346507423,1720032345,204
1548251705,1982650024,87
1487635777,1982650024,402
1356311831,1982650024,185
1417131715,1932146032,689
1417131715,1023055126,9007
1417131715,1265487193,98
1417131715,1750328852,301
1245300391,1023055126,94
1538103692,1982650024,123
1538103692,1023055126,157
1518919000,1992776405,396
1558355941,1982650024,110
1558355941,1023055126,50
1053519785,1023055126,166
1053519785,1982650024,2153
1053519785,1316379738,86
1053519785,1164469227,103
1073547402,1720032345,469
1801943600,1023055126,1110
1801943600,1932146032,124
1659714798,1023055126,1025
1659714798,1932146032,70
1326056839,1992776405,212
1326056839,1023055126,345
1942299359,1992776405,63
1417964628,1023055126,263
1679568364,1932146032,63
1679568364,1023055126,1640
1174576599,1023055126,153
1679663785,1992776405,651
1982703328,1023055126,63
1598723645,1720032345,127
1619969482,1023055126,148
1619969482,1992776405,718
1619969482,1720032345,60
1003876236,1720032345,672
1427023605,1982650024,136
1447296959,1982650024,65
1154531911,1023055126,51
1942252952,1982650024,238
1639249774,1023055126,270
1871614370,1023055126,51
1871614370,1720032345,450
1871614370,1124065255,67
1932102670,1023055126,56
1134410129,1982650024,95
1447242565,1750328852,65
1447242565,1982650024,115
1447242565,1720032345,190
1447242565,1023055126,1288
1447242565,1932146032,99
1811044787,1982650024,304
1376538272,1023055126,1195
1447245725,1982650024,54
1447245725,1023055126,1091
1093750564,1992776405,290
1487600698,1992776405,218
1952629867,1720032345,178
1265464499,1982650024,641
1265464499,1023055126,62
1669443875,1992776405,103
1700029493,1023055126,739
1508890286,1023055126,56
1649480237,1023055126,184
1427046622,1982650024,456
1598871642,1023055126,70
1245225937,1023055126,1015
1790833267,1023055126,63
1790833267,1720032345,287
1942295035,1023055126,355
1457330649,1982650024,187
1518952852,1023055126,119
1861452138,1720032345,475
1861452138,1023055126,66
1922280692,1023055126,225
1992790091,1023055126,997
1467447664,1124065255,177
1467447664,1720032345,1118
1467447664,1023055126,58
1235215518,1982650024,82
1316029226,1023055126,133
1508884875,1982650024,415
1801030523,1023055126,883
1801030523,1932146032,58
1730224320,1982650024,425
1821269465,1023055126,293
1245203355,1982650024,491
1467494591,1023055126,60
1699861559,1720032345,119
1053303248,1982650024,405
1386639219,1023055126,1348
1902812571,1982650024,999
1902812571,1023055126,113
1346292257,1982650024,332
1306827605,1982650024,355
1861497570,1023055126,374
1215926860,1992776405,77
1871696096,1982650024,61
1467498279,1982650024,119
1568415164,1992776405,62
1801894142,1982650024,182
1588899082,1023055126,356
1194751354,1023055126,141
1164504544,1023055126,344
1164504544,1992776405,1452
1447366075,1023055126,170
1881836856,1023055126,429
1396004099,1023055126,53
1952590705,1023055126,87
1770774754,1023055126,686
1770774754,1982650024,63
1770774754,1932146032,83
1346244324,1023055126,371
1336147685,1982650024,84
1861464430,1982650024,369
1487672291,1023055126,73
1437441847,1023055126,1004
1093738536,1992776405,635
1093738536,1720032345,50
1093738536,1023055126,95
1225027014,1982650024,92
1578615522,1023055126,61
1245325661,1023055126,1053
1245325661,1932146032,53
1750376786,1023055126,178
1336134501,1992776405,147
1639112048,1023055126,320
1558384099,1992776405,832
1386820413,1982650024,67
1386820413,1023055126,889
1265606255,1023055126,1368
1619004066,1992776405,75
1114020336,1982650024,2073
1477595593,1982650024,239
1750394060,1720032345,110
1750394060,1023055126,88
1083606248,1023055126,345
1447212964,1023055126,133
1447212964,1992776405,653
1518398437,1992776405,61
1578677274,1720032345,103
1578677274,1932146032,104
1578677274,1982650024,53
1578677274,1023055126,1998
1578677274,1750328852,55
1871539502,1023055126,462
1942290333,1982650024,982
1881638971,1023055126,170
1225023914,1023055126,316
1710968037,1982650024,255
1184619124,1982650024,68
1992985949,1023055126,767
1013902782,1023055126,59
1013902782,1124065255,100
1013902782,1720032345,708
1851474092,1023055126,127
1790729887,1023055126,68
1003897380,1982650024,722
1306819792,1982650024,145
1043219165,1023055126,58
1396751749,1982650024,70
1144309121,1992776405,64
1144309121,1982650024,50
1144309121,1023055126,1501
1417903378,1982650024,58
1417903378,1023055126,126
1578692695,1023055126,120
1477548675,1023055126,1706
1477548675,1265487193,68
1477548675,1932146032,75
1689677619,1023055126,119
1932128782,1023055126,92
1700959871,1023055126,147
1326120700,1720032345,415
1326120700,1023055126,86
1558461970,1932146032,179
1558461970,1750328852,84
1558461970,1023055126,2401
1215995972,1982650024,165
1730115981,1023055126,139
1063415131,1023055126,79
1750796447,1316379738,63
1750796447,1982650024,1064
1902013410,1164469227,60
1902013410,1023055126,104
1902013410,1982650024,1231
1326115577,1992776405,87
1427043645,1023055126,1773
1417273061,1023055126,304
1891782454,1023055126,573
1386664456,1992776405,818
1386664456,1023055126,621
1285695171,1265487193,78
1285695171,1023055126,57
1407090236,1982650024,124
1588788301,1982650024,515
1265497788,1265487193,197
1265497788,1023055126,79
1467501999,1720032345,141
1356308779,1982650024,177
1891708012,1023055126,65
1730345505,1932146032,63
1730345505,1023055126,919
1679517445,1720032345,94
1811104003,1023055126,114
1285682211,1023055126,53
1285682211,1720032345,173
1073505830,1023055126,159
1083687305,1982650024,68
1740487305,1023055126,69
1104812551,1932146032,59
1104812551,1023055126,1355
1669799532,1992776405,379
1114961513,1023055126,874
1114961513,1720032345,2878
1114961513,1457640922,59
1306831284,1720032345,760
1245368943,1023055126,99
1053337717,1982650024,72
1801973490,1023055126,328
1629202593,1982650024,216
1497724124,1023055126,270
1417169319,1023055126,928
1184949752,1982650024,115
1184949752,1023055126,709
1962645259,1982650024,65
1538147319,1023055126,96
1972658060,1982650024,74
1932274503,1720032345,116
1932274503,1023055126,368
1932274503,1992776405,2074
1891749420,1982650024,128
1881624450,1992776405,74
1023103462,1023055126,2264
1023103462,1932146032,117
1043205008,1982650024,180
1760478192,1023055126,1385
1760478192,1932146032,71
1255301800,1023055126,102
1255301800,1982650024,334
1578501904,1023055126,809
1679546717,1982650024,220
1932190360,1023055126,79
1932190360,1164469227,50
1932190360,1982650024,2134
1336296136,1023055126,444
1619180403,1164469227,150
1619180403,1316379738,124
1619180403,1982650024,3514
1710008651,1982650024,1718
1710008651,1023055126,58
1679689285,1982650024,89
1174580286,1720032345,512
1437229572,1023055126,59
1518914050,1992776405,73
1659342384,1982650024,58
1205878402,1992776405,86
1396003356,1720032345,120
1679539886,1023055126,743
1801888060,1982650024,316
1801888060,1023055126,87
1205878220,1023055126,81
1780685743,1982650024,67
1952353054,1982650024,300
1396906657,1023055126,627
1235101809,1982650024,110
1316977812,1023055126,481
1679576839,1023055126,65
1215295084,1750328852,54
1215295084,1023055126,1087
1215295084,1932146032,53
1336230424,1023055126,77
1750389607,1982650024,160
1538385091,1023055126,835
1790710374,1982650024,309
1285625731,1023055126,70
1194743914,1023055126,150
1649262338,1982650024,105
1649262338,1023055126,156
1598973273,1992776405,56
1568410363,1720032345,870
1720029101,1538114434,171
1720493927,1538114434,823
1679558738,1538114434,116
1861437063,1538114434,161
1902823099,1538114434,139
1154313708,1538114434,101
1174564314,1538114434,64
1255674594,1538114434,92
1447307251,1538114434,212
1144259631,1538114434,110
1700810371,1538114434,344
1003113200,1538114434,443
1790891315,1538114434,1492
1699737056,1538114434,71
1184612921,1538114434,79
1770538738,1538114434,74
1013179860,1538114434,1512
1417011008,1538114434,58
1487854311,1538114434,80
1104818889,1538114434,173
1124097126,1538114434,388
1487674016,1538114434,166
1205826526,1538114434,81
1235171596,1538114434,300
1295706257,1538114434,138
1720079114,1538114434,175
1588684104,1538114434,104
1467764639,1538114434,246
1104836741,1538114434,106
1801866199,1538114434,276
1003819277,1538114434,115
1760414429,1538114434,237
1659639847,1538114434,195
1558355941,1538114434,238
1083622575,1538114434,573
1992770929,1538114434,547
1104933738,1538114434,1686
1861485039,1538114434,54
1033343728,1538114434,183
1366571523,1538114434,52
1720241318,1538114434,416
1629094438,1538114434,364
1720034127,1538114434,176
1427046622,1538114434,231
1487778635,1538114434,129
1518976315,1538114434,220
1124007984,1538114434,940
1295919041,1538114434,89
1902858574,1538114434,66
1427040021,1538114434,348
1205879467,1538114434,225
1184885923,1538114434,61
1083659163,1538114434,62
1871696096,1538114434,230
1275536468,1538114434,1304
1427023894,1538114434,372
1447366075,1538114434,873
1740311521,1538114434,106
1861541351,1538114434,96
1770774754,1538114434,166
1083001747,1538114434,216
1154324325,1538114434,168
1144383738,1538114434,81
1225027014,1538114434,1546
1578615522,1538114434,630
1134154461,1538114434,124
1487644522,1538114434,148
1871770123,1538114434,56
1881803492,1538114434,62
1487723342,1538114434,605
1952386401,1538114434,575
1306969696,1538114434,804
1790729887,1538114434,68
1144309121,1538114434,267
1255355277,1538114434,83
1750692042,1538114434,50
1083665962,1538114434,679
1811104003,1538114434,140
1083687305,1538114434,50
1336433549,1538114434,92
1104871029,1538114434,62
1245368943,1538114434,912
