npi,communityId
1003013160,1411
1003050972,1386
1003063314,1386
1003071333,1404
1003075862,1394
1003113200,1389
1003198359,1394
1003801788,1393
1003813874,1411
1003819277,1383
1003854258,1394
1003860982,1392
1003876236,1398
1003897380,1392
1003903139,1386
1013092089,1386
1013179860,1389
1013902782,1398
1013908730,1411
1013936079,1386
1013957976,1411
1013958776,1394
1023000999,1398
1023009818,1383
1023019429,1411
1023055126,1393
1023061520,1393
1023065232,1411
1023076882,1394
1023100435,1386
1023103462,1393
1023157195,1394
1023165909,1386
1023205531,1411
1023452331,1384
1033100763,1383
1033168059,1386
1033187810,1394
1033200852,1389
1033206149,1386
1033246640,1399
1033278429,1411
1033297429,1384
1033316484,1389
1033343728,1389
1033353487,1384
1033370986,1394
1043205008,1392
1043219165,1393
1043229495,1386
1043281710,1394
1043294747,1389
1043300288,1411
1043351471,1394
1043394166,1386
1043400435,1384
1053303248,1392
1053306175,1394
1053314963,1383
1053337717,1407
1053394916,1394
1053406405,1393
1053408567,1392
1053425181,1392
1053453795,1389
1053468926,1386
1053519785,1392
1063403434,1383
1063407351,1398
1063407534,1429
1063415131,1429
1063445641,1386
1063449031,1399
1063452399,1411
1063452902,1411
1063458255,1383
1063467876,1392
1063483568,1389
1063485373,1411
1063506921,1389
1063739480,1389
1063864775,1399
1073505830,1411
1073516001,1429
1073518734,1404
1073547402,1398
1073580338,1383
1073600102,1386
1073603411,1399
1073605481,1386
1073605499,1386
1073607784,1386
1073633780,1399
1073808747,1386
1073856696,1407
1083001747,1389
1083606248,1411
1083609481,1407
1083614044,1394
1083622575,1389
1083659163,1407
1083665962,1389
1083687305,1389
1083703540,1393
1083712939,1386
1083713424,1386
1083798193,1386
1083871164,1386
1083905822,1393
1093150351,1383
1093155913,1384
1093706962,1393
1093718272,1429
1093738536,1394
1093750564,1394
1093769606,1407
1093809857,1393
1093818981,1386
1093830176,1392
1104020684,1386
1104025329,1386
1104137215,1392
1104244458,1389
1104269067,1411
1104802271,1392
1104808641,1386
1104810274,1386
1104812551,1393
1104817907,1383
1104818889,1407
1104820760,1383
1104836741,1389
1104859115,1394
1104862234,1386
1104863554,1411
1104871029,1389
1104890003,1389
1104897164,1384
1104912013,1386
1104917061,1394
1104933738,1389
1114001229,1411
1114004983,1383
1114019528,1399
1114019536,1386
1114019833,1384
1114020336,1392
1114174547,1386
1114313319,1392
1114916095,1389
1114961513,1398
1114961596,1392
1114966835,1411
1114974979,1407
1114979184,1384
1124003561,1394
1124007919,1398
1124007984,1389
1124043880,1389
1124061676,1394
1124065255,1398
1124067533,1411
1124096904,1394
1124097126,1389
1124115258,1386
1124146683,1386
1124150016,1392
1124175922,1407
1124246681,1384
1124292081,1386
1134117690,1394
1134154461,1389
1134178171,1411
1134203243,1386
1134211543,1386
1134211550,1399
1134247570,1394
1134337983,1399
1134355647,1384
1134410129,1389
1134486467,1386
1144211830,1411
1144221391,1411
1144224981,1383
1144259631,1389
1144264458,1399
1144288747,1392
1144309121,1393
1144312554,1386
1144312562,1386
1144377011,1386
1144383738,1407
1144469826,1386
1144535634,1386
1144587205,1386
1144588690,1386
1144594573,1411
1144664376,1392
1144667288,1389
1154311413,1386
1154312908,1383
1154313708,1383
1154324325,1389
1154339737,1386
1154341543,1411
1154342046,1394
1154344836,1384
1154359602,1386
1154366409,1383
1154376259,1383
1154392918,1394
1154398105,1384
1154418267,1386
1154420594,1386
1154425361,1384
1154491207,1393
1154531911,1393
1154534923,1394
1154597458,1386
1164426979,1383
1164468906,1386
1164469227,1392
1164504544,1394
1164590386,1394
1164693008,1386
1164832648,1394
1174500896,1389
1174517593,1386
1174543516,1407
1174556492,1411
1174564314,1389
1174565543,1383
1174576599,1393
1174580286,1398
1174669998,1392
1174670046,1386
1174670962,1386
1174718480,1394
1174727655,1386
1174730386,1386
1174910491,1392
1174919617,1392
1184048795,1394
1184069429,1383
1184603839,1429
1184611493,1411
1184612921,1407
1184615809,1411
1184619124,1392
1184620460,1393
1184650145,1383
1184697898,1407
1184867939,1384
1184885923,1386
1184914129,1411
1184949752,1393
1194046656,1386
1194710889,1393
1194716662,1399
1194741488,1386
1194743914,1383
1194751354,1383
1194817502,1386
1194872051,1383
1194969196,1386
1194987867,1386
1205030780,1386
1205819695,1386
1205822962,1411
1205825866,1392
1205826526,1389
1205827987,1399
1205830015,1394
1205878220,1429
1205878402,1394
1205879467,1389
1205897584,1399
1205923331,1386
1205945300,1394
1205978152,1394
1205983186,1386
1215017330,1386
1215029897,1384
1215036652,1386
1215084108,1386
1215091129,1386
1215105895,1386
1215155288,1386
1215193255,1386
1215216890,1383
1215295084,1393
1215377932,1394
1215900980,1386
1215902796,1394
1215916838,1384
1215926860,1394
1215926886,1394
1215937982,1383
1215979190,1392
1215995972,1392
1225023914,1393
1225027014,1389
1225029994,1383
1225031073,1411
1225039290,1392
1225078561,1411
1225120926,1393
1225203540,1383
1225269103,1386
1225329634,1386
1225411010,1386
1235101809,1389
1235137183,1386
1235154683,1394
1235163528,1429
1235171596,1389
1235172164,1386
1235172800,1394
1235196395,1399
1235215518,1389
1235238676,1386
1235242181,1393
1235357062,1383
1245203355,1389
1245208602,1384
1245225937,1393
1245267723,1386
1245271741,1407
1245275593,1383
1245300391,1393
1245313741,1407
1245322668,1386
1245325661,1393
1245334333,1411
1245368943,1389
1245541358,1392
1245556554,1386
1255301800,1392
1255316519,1411
1255323382,1393
1255355277,1389
1255368767,1411
1255370029,1411
1255400362,1398
1255488052,1399
1255548665,1386
1255579652,1394
1255624433,1386
1255642856,1394
1255674594,1389
1265423099,1383
1265426050,1393
1265427553,1393
1265445506,1399
1265464499,1392
1265465959,1383
1265487193,1393
1265497788,1393
1265529309,1386
1265551295,1386
1265606255,1393
1265636757,1399
1265756837,1394
1265875553,1411
1275524936,1383
1275528770,1392
1275536468,1389
1275546061,1386
1275597262,1383
1275620312,1386
1275631129,1386
1275646119,1393
1275680134,1411
1275720542,1393
1275767261,1386
1275793283,1393
1275828089,1394
1275888992,1389
1285615278,1407
1285617332,1386
1285620344,1386
1285625731,1383
1285625814,1383
1285627398,1411
1285629527,1386
1285644237,1389
1285662148,1393
1285676247,1411
1285682211,1398
1285695171,1393
1285716944,1386
1285723718,1393
1285732131,1386
1285733618,1386
1285781161,1386
1285862482,1383
1295052934,1394
1295093615,1386
1295178481,1386
1295706257,1389
1295709897,1411
1295720605,1394
1295770915,1383
1295780476,1407
1295882165,1386
1295882348,1386
1295919041,1389
1306010749,1386
1306037775,1411
1306040894,1386
1306053939,1383
1306111497,1384
1306819792,1392
1306827605,1392
1306831284,1398
1306834700,1394
1306862669,1393
1306884150,1386
1306889597,1392
1306891262,1411
1306896519,1386
1306936802,1386
1306950514,1392
1306969696,1389
1306981741,1394
1316029218,1386
1316029226,1411
1316034424,1386
1316051683,1392
1316054133,1384
1316096373,1386
1316101249,1386
1316112634,1386
1316160468,1386
1316206337,1429
1316329675,1429
1316351844,1411
1316379738,1392
1316933955,1393
1316944648,1389
1316975485,1386
1316977812,1393
1316980352,1411
1316985120,1411
1316987654,1411
1326013566,1386
1326046673,1407
1326048844,1429
1326056839,1393
1326057167,1392
1326086653,1411
1326101924,1384
1326115577,1394
1326120700,1398
1326135443,1386
1326135450,1386
1326214438,1386
1336134501,1394
1336147685,1407
1336147776,1411
1336155530,1399
1336200385,1384
1336230424,1389
1336285873,1386
1336296136,1393
1336312602,1386
1336331719,1384
1336377837,1383
1336433549,1389
1346238656,1394
1346244324,1393
1346291952,1384
1346292257,1392
1346332756,1386
1346339710,1386
1346345154,1392
1346353299,1393
1346397205,1399
1346426038,1383
1346504529,1383
1346507423,1398
1346533320,1393
1356304984,1386
1356308779,1389
1356311831,1392
1356315063,1394
1356325237,1383
1356332068,1411
1356395990,1411
1356433783,1386
1356438493,1386
1356440796,1386
1356492342,1389
1356542369,1386
1356592778,1394
1366431710,1386
1366446171,1383
1366497273,1411
1366499261,1392
1366526469,1386
1366559536,1386
1366571523,1389
1366599151,1386
1366642415,1394
1366703225,1392
1366706459,1411
1366731697,1394
1366736845,1404
1376506337,1407
1376508374,1384
1376538207,1393
1376538272,1393
1376544767,1394
1376570010,1386
1376585174,1411
1376616771,1389
1376635052,1384
1376662718,1399
1386600906,1384
1386608768,1399
1386615540,1392
1386639219,1393
1386663144,1399
1386664456,1394
1386664662,1386
1386672335,1386
1386686137,1411
1386689636,1383
1386698058,1384
1386707446,1407
1386710051,1384
1386734069,1386
1386820413,1393
1386878957,1394
1386901536,1392
1396003356,1398
1396004099,1393
1396736963,1383
1396737177,1394
1396739140,1407
1396751749,1392
1396753356,1399
1396784971,1411
1396799979,1411
1396832168,1386
1396848305,1386
1396882205,1386
1396906657,1393
1396910600,1393
1396932463,1394
1396965034,1386
1407033632,1386
1407057946,1386
1407090236,1389
1407141302,1384
1407141773,1384
1407274251,1384
1407811722,1383
1407838931,1386
1407848534,1393
1407880016,1411
1407888357,1394
1407890593,1392
1407893464,1429
1407896749,1411
1407903370,1386
1407943517,1386
1417004136,1399
1417011008,1389
1417040205,1411
1417046806,1394
1417049834,1386
1417056854,1386
1417086596,1407
1417131715,1393
1417169319,1393
1417190711,1386
1417191453,1386
1417273061,1393
1417368770,1386
1417900820,1384
1417903378,1383
1417938432,1386
1417938846,1389
1417944760,1407
1417948076,1386
1417951302,1399
1417956830,1383
1417964628,1393
1417970831,1386
1417983214,1411
1417990367,1393
1417992397,1393
